station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
BASSTA,2012,1,1,0,11,,,,,,,,981.2,,4,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,1,11,,,,,,,,981.4,,2.7,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,2,10.9,,,,,,,,981.3,,2.1,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,3,10.7,,,,,,,,981.1,,1.3,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,4,10.8,,,,,,,,981.3,,1.2,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,5,9.6,,,,,,,,981.6,,1,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,6,9.8,,,,,,,,981.8,,1.1,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,7,10.1,,,,,,,,982.2,,1,,5,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,8,10.2,,,,,,,,982.5,,0.5,,62,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,9,12.6,,,,,,,,982.6,,2.8,,120,163.1,106,0,0,0,0,,,,
BASSTA,2012,1,1,10,13.2,,,,,,,,982.5,,2,,128,39.9,120,0,0,0,0,,,,
BASSTA,2012,1,1,11,13.7,,,,,,,,982,,3.3,,139,28.3,131,0,0,0,0,,,,
BASSTA,2012,1,1,12,13.8,,,,,,,,981.5,,3.6,,114,21.4,107,0,0,0,0,,,,
BASSTA,2012,1,1,13,14,,,,,,,,980.7,,2.9,,121,24.3,113,0,0,0,0,,,,
BASSTA,2012,1,1,14,14,,,,,,,,980.6,,2,,54,13.8,50,0,0,0,0,,,,
BASSTA,2012,1,1,15,13.8,,,,,,,,980.7,,2.4,,23,4.8,22,0,0,0,0,,,,
BASSTA,2012,1,1,16,12,,,,,,,,980.7,,1.3,,1,0,1,0,0,0,0,,,,
BASSTA,2012,1,1,17,11.3,,,,,,,,980.7,,0.5,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,18,11.5,,,,,,,,980.4,,1.6,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,19,11.4,,,,,,,,980.3,,0.5,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,20,11.4,,,,,,,,979.8,,1.5,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,21,9.5,,,,,,,,979,,1.5,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,22,9,,,,,,,,978.2,,2.4,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,1,23,8.6,,,,,,,,977.6,,2.6,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,2,0,8.2,,,,,,,,977.1,,2.7,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,2,1,8.1,,,,,,,,976.6,,3.3,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,2,2,8,,,,,,,,976.2,,3.4,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,2,3,7.8,,,,,,,,975.8,,1.8,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,2,4,8,,,,,,,,975,,2.3,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,2,5,8,,,,,,,,974.4,,3,,0,0,0,0,0,0,0,,,,
BASSTA,2012,1,2,6,8,,,,,,,,974.1,,2.3,,0,0,0,0,0,0,0,,,,
