station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
KLO,2009,1,1,0,0.6,,,,,,,,972.8,,0.5,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,1,0.5,,,,,,,,973.5,,0.3,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,2,0.8,,,,,,,,974.3,,0.7,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,3,0.6,,,,,,,,974.8,,0.5,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,4,0.4,,,,,,,,975,,0.5,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,5,0.2,,,,,,,,975.2,,1.3,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,6,0.4,,,,,,,,975.8,,0.4,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,7,-0.1,,,,,,,,976,,0.3,,3,0,0,0,0,0,0,,,,
KLO,2009,1,1,8,-1.3,,,,,,,,976.3,,0.6,,62,0,0,0,0,0,0,,,,
KLO,2009,1,1,9,-0.2,,,,,,,,976.3,,0.7,,188,1655,31,0,0,0,0,,,,
KLO,2009,1,1,10,0.6,,,,,,,,976.1,,1.5,,267,1071.4,44.1,0,0,0,0,,,,
KLO,2009,1,1,11,0.9,,,,,,,,975.5,,0.6,,245,476.4,107.5,0,0,0,0,,,,
KLO,2009,1,1,12,1.3,,,,,,,,974.9,,1.5,,252,325.3,144.6,0,0,0,0,,,,
KLO,2009,1,1,13,1.3,,,,,,,,974.6,,2,,179,74.3,154.5,0,0,0,0,,,,
KLO,2009,1,1,14,1.2,,,,,,,,974.5,,1.8,,59,2.7,58.2,0,0,0,0,,,,
KLO,2009,1,1,15,0.7,,,,,,,,974.4,,2.2,,16,0.4,15.9,0,0,0,0,,,,
KLO,2009,1,1,16,0.5,,,,,,,,974.5,,1.7,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,17,0.7,,,,,,,,974.3,,2.2,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,18,0.4,,,,,,,,974.3,,2.9,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,19,0.2,,,,,,,,974.3,,2,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,20,0.1,,,,,,,,974.1,,2.5,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,21,-0.1,,,,,,,,973.6,,1.6,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,22,0.1,,,,,,,,973.4,,2.3,,0,0,0,0,0,0,0,,,,
KLO,2009,1,1,23,0,,,,,,,,973,,2.4,,0,0,0,0,0,0,0,,,,
KLO,2009,1,2,0,-0.2,,,,,,,,972.5,,2.4,,0,0,0,0,0,0,0,,,,
KLO,2009,1,2,1,-0.4,,,,,,,,972.4,,1.8,,0,0,0,0,0,0,0,,,,
KLO,2009,1,2,2,-0.5,,,,,,,,972.3,,1.6,,0,0,0,0,0,0,0,,,,
KLO,2009,1,2,3,-0.6,,,,,,,,972.1,,0.3,,0,0,0,0,0,0,0,,,,
KLO,2009,1,2,4,-0.7,,,,,,,,971.8,,0.7,,0,0,0,0,0,0,0,,,,
KLO,2009,1,2,5,-0.8,,,,,,,,971.6,,0.3,,0,0,0,0,0,0,0,,,,
KLO,2009,1,2,6,-0.8,,,,,,,,971.7,,0.5,,0,0,0,0,0,0,0,,,,
KLO,2009,1,2,7,-1,,,,,,,,971.9,,0.4,,0,0,0,0,0,0,0,,,,
KLO,2009,1,2,8,-1,,,,,,,,971.9,,0.5,,7,0,0,0,0,0,0,,,,
KLO,2009,1,2,9,-0.9,,,,,,,,972.1,,0.4,,22,3.4,21.7,0,0,0,0,,,,
