station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
RUE,2010,1,1,0,3.2,,,,,,,,920.9,,1.1,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,1,2.9,,,,,,,,920.5,,1.3,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,2,2.7,,,,,,,,920.1,,1.9,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,3,2.8,,,,,,,,919.8,,1.9,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,4,2.5,,,,,,,,919.4,,2,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,5,2.3,,,,,,,,919.2,,1.9,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,6,2.7,,,,,,,,918.9,,2.1,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,7,2.7,,,,,,,,919.1,,2.1,,2,0,0,0,0,0,0,,,,
RUE,2010,1,1,8,2.7,,,,,,,,919.5,,1.5,,34,0,0,0,0,0,0,,,,
RUE,2010,1,1,9,2.7,,,,,,,,920.1,,0.9,,41,31.6,38.2,0,0,0,0,,,,
RUE,2010,1,1,10,2.8,,,,,,,,920.8,,0.4,,54,4.4,53.1,0,0,0,0,,,,
RUE,2010,1,1,11,2.9,,,,,,,,920.9,,1.4,,50,1.9,49.4,0,0,0,0,,,,
RUE,2010,1,1,12,2.8,,,,,,,,921,,0.6,,62,2.3,61.3,0,0,0,0,,,,
RUE,2010,1,1,13,3.1,,,,,,,,921.5,,1.4,,25,0.4,24.9,0,0,0,0,,,,
RUE,2010,1,1,14,2.8,,,,,,,,922.5,,2.9,,9,0.1,9,0,0,0,0,,,,
RUE,2010,1,1,15,2.3,,,,,,,,923.8,,3.7,,2,0,2,0,0,0,0,,,,
RUE,2010,1,1,16,1.5,,,,,,,,924.9,,3.9,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,17,0.6,,,,,,,,926.3,,3.6,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,18,0.2,,,,,,,,927.9,,4,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,19,-0.3,,,,,,,,929.5,,3.8,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,20,-0.4,,,,,,,,930.8,,3.5,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,21,-1,,,,,,,,931.9,,5.2,,0,0,0,0,0,0,0,,,,
RUE,2010,1,1,22,-1.8,,,,,,,,933.1,,5.2,,0,0,0,0,0,0,0,,,,
