station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
ZUESTA,2010,1,1,0,3.9,,,,,,,,927.3,,0.4,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,1,4.1,,,,,,,,927.1,,0.4,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,2,3.6,,,,,,,,926.7,,1.9,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,3,4,,,,,,,,926.2,,0.9,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,4,3.8,,,,,,,,925.8,,0.5,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,5,3.4,,,,,,,,925.6,,0.5,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,6,2.9,,,,,,,,925.5,,1.3,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,7,2.4,,,,,,,,925.5,,1.4,,2,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,8,2.3,,,,,,,,925.9,,0.7,,33,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,9,2.9,,,,,,,,926.4,,0.4,,49,55.3,43.7,0,0,0,0,,,,
ZUESTA,2010,1,1,10,2.4,,,,,,,,926.9,,1.7,,69,7.3,67.5,0,0,0,0,,,,
ZUESTA,2010,1,1,11,2.4,,,,,,,,927,,1.2,,84,5.3,82.5,0,0,0,0,,,,
ZUESTA,2010,1,1,12,3,,,,,,,,927.2,,0.6,,78,3.5,76.8,0,0,0,0,,,,
ZUESTA,2010,1,1,13,3.2,,,,,,,,927.6,,0.8,,37,0.8,36.7,0,0,0,0,,,,
ZUESTA,2010,1,1,14,3.6,,,,,,,,928.3,,0.6,,32,0.8,31.8,0,0,0,0,,,,
ZUESTA,2010,1,1,15,3.7,,,,,,,,929.2,,0.9,,12,0.2,12,0,0,0,0,,,,
ZUESTA,2010,1,1,16,3.7,,,,,,,,930.3,,1.8,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,17,2.6,,,,,,,,931.7,,3.8,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,18,1.7,,,,,,,,933.3,,4.2,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,19,0.8,,,,,,,,935.2,,4.3,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,20,0.3,,,,,,,,936.7,,4.8,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,21,0.3,,,,,,,,937.9,,2.9,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,22,0.2,,,,,,,,938.8,,3.1,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,1,23,-0.6,,,,,,,,939.9,,4.3,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,2,0,-1,,,,,,,,940.7,,4.9,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,2,1,-1.5,,,,,,,,941.9,,4.1,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,2,2,-1.7,,,,,,,,943,,4.5,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,2,3,-1.7,,,,,,,,944,,4.4,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,2,4,-1.8,,,,,,,,944.6,,4.2,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,2,5,-1.9,,,,,,,,945.5,,4.2,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,2,6,-2,,,,,,,,946.1,,3.8,,0,0,0,0,0,0,0,,,,
ZUESTA,2010,1,2,7,-2.4,,,,,,,,947.2,,4.1,,2,0,0,0,0,0,0,,,,
